iter	Passed	Remaining
0	0	64
1	1	59
2	1	56
3	2	55
4	3	58
5	3	59
6	4	60
7	5	62
8	6	61
9	6	59
10	7	58
11	7	57
12	8	55
13	8	54
14	9	54
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	15	48
24	15	47
25	16	47
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	37
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	49	14
77	49	13
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
